date,content,like_count,retweet_count,username,verified
2022-05-11 11:34:54+00:00,"Chocolate is candy from heaven.

#chocolate 
#candy 
#singapore
#Swiss https://t.co/aAFxL0TOTt",0,0,sheshentwit,False
2022-05-11 11:30:00+00:00,"Bake this easy, irresistible #chocolate tiger #cupcakes 📺 Learn how to make it at https://t.co/fGuEmC8H51 

#aurochocolate #auro #auroexperience #aurotastytreats #cacao #baking #treetobar",1,0,AuroChocolate,False
2022-05-11 11:23:03+00:00,A flower in my #garden that smells like #chocolate  Now that is fun! https://t.co/eQgG7dNcGt,0,0,GardeningMelb,False
2022-05-11 11:15:33+00:00,"Sometimes all you need is a cup of  thick creamy hot chocolate !!

#Hotchocolate  #chocolate #london #coffeeshops
#coffeelovers #coffee https://t.co/bJ1SsghOjP",0,0,sadcafee,False
2022-05-11 11:14:59+00:00,"White chocolate, kinder bar and peanut butter 🤤

Can you find something better than this? 😉

https://t.co/2caiHKQ0hj

#cupnies #mrbbrownies #brownies #chocolate #kinderbar #whitechocolate #peanutbutter #uk #grays #thurrock #bakery https://t.co/ItabDTY1A7",4,2,MRBBROWNIES1,False
2022-05-11 11:08:48+00:00,"@DrPamSpurr @BahlsenBiscuits You're welcome @DrPamSpurr.
I guess it's cos our birthdays are a day apart.
In general I prefer dark #chocolate!
Same to you, have a #blessed week.
☕🍫😊",1,0,siobhanx3,False
2022-05-11 11:08:02+00:00,"#Lindt Oat-Milk Based #Chocolate Bars Now Available in The US!  

One Green Planet https://t.co/2AiVz818o0 https://t.co/tkEZlnlVWL",0,0,ImmaChocoholic,False
2022-05-11 11:00:22+00:00,#Brownie #Cupcakes with Red Velvet #Frosting will be enjoyed by any #chocolate or #redvelvet lover. #recipe #dessert https://t.co/ecZvA8vEF8,1,0,sugarspicefam,False
2022-05-11 11:00:03+00:00,"Will Chocolate be Extinct? Are there any Alternatives? Everything You Need to Know

See: https://t.co/DxmDPTiOwb

#isrgrajan #WednesdayMotivation #chocolate #cocoa #extinct https://t.co/WUdjAfJ6Vj",0,0,isrgrajan,False
2022-05-11 10:53:46+00:00,"Writing Prompt Wednesday

What does this picture prompt you to write?

#writingpromptwednesday #write #create #story #prompt #boy #chocolate #eat #art #fun

https://t.co/7FT2THHmIu

https://t.co/NcSRtsc60l https://t.co/YaCs1odOr9",1,0,SeedsofI,False
